,행정구역,sig_cd,진짜 구급차 출동시간 표준화,기대수명 표준화,병원수 표준화,보건시설 표준화,구급차 표준화,의사수 표준화,지방소멸지수 표준화,지역별중증사망수치,정규화사망수치,emci
122,부산광역시 해운대구,26350,8.0,10.5,7.0,0.0,4.307692304,0.995024872,11.303947968,148.8,0.790135397,42.106665144
123,경상남도 양산시,48330,7.672310048,7.846153848,6.0,0.0,4.92307692,1.034825872,14.799505472,77.6,0.296421663,42.27587216
124,경상남도 진주시,48170,5.801347936,9.192307704000001,8.5,0.0,5.538461536,0.95522388,12.2969072,464.9,0.881528046,42.284248256
125,서울특별시 금천구,11545,8.0,11.269230768,2.0,0.0,1.846153848,0.597014928,18.727406464,150.29999999999998,0.786508704,42.439806008000005
126,부산광역시 강서구,26440,7.93661472,8.884615392,3.0,0.0,2.461538464,0.079601992,20.526205408,101.60000000000001,0.904255319,42.888575976
127,경기도 의왕시,41430,7.917379872,16.000000008,0.0,0.0,1.230769232,0.159203984,18.268377728,118.2,0.864119923,43.575730824000004
128,광주광역시 남구,29155,7.956148544,12.0,7.5,0.0,3.07692308,0.995024872,12.631589248,114.00000000000001,0.874274662,44.159685744
129,경기도 광명시,41210,8.0,14.15384616,2.5,0.0,1.846153848,0.597014928,17.234176768,111.9,0.879352031,44.331191704000005
130,인천광역시 동구,28200,7.996511816,9.307692312,6.5,0.0,3.692307696,0.95522388,16.647085952,114.9,0.872098646,45.098821656
131,경기도 구리시,41310,8.0,13.5,4.0,0.0,1.230769232,1.154228856,18.00593856,91.7,0.928191489,45.890936648
132,강원도 원주시,42130,3.437953928,8.961538464,9.5,0.0,8.0,0.915422888,15.106377312,147.1,0.794245648,45.921292592
133,서울특별시 노원구,11350,8.0,13.999999992,4.0,0.0,4.307692304,0.95522388,15.081425152,115.0,0.871856867,46.344341328
134,울산광역시 북구,31200,7.860173664,6.961538472000001,2.5,0.0,2.461538464,0.119402984,26.62541536,85.19999999999999,0.943907157,46.528068944000005
135,인천광역시 부평구,28237,8.0,10.5,5.5,0.0,4.92307692,0.716417912,17.390017152,115.39999999999999,0.870889749,47.029511983999996
