시군구명,시군구코드,,순환계통 사망자 수,순환계통 10만명당 사망률,순환계통 연령 표준화 사망률(10만명당),운수사고 사망자 수,운수사고 10만명당 사망률,운수사고 연령 표준화 사망률(10만명당),낙상 사망자수  ,낙상 10만명당 사망률,낙상 연령 표준화 사망률(10만명당),,,,,,,,
울산광역시 동구,31170,,185,119.6,82.1,5,3.2,3.2,7,4.5,3.9,,,,,,,,
울산광역시 북구,31200,,172,78.8,65.8,10,4.6,4,4,1.8,1.7,,,,,,,,
울산광역시 울주군,31710,,308,139,65.7,17,7.7,4.9,9,4.1,2.3,,,,,,,,
울산광역시 중구,31110,,275,128.4,67.6,14,6.5,4.2,9,4.2,2.3,,,,,,,,
인천광역시 강화군,28710,,131,189.8,40.3,8,11.6,5.4,10,14.5,5.9,,,,,,,,
인천광역시 계양구,28245,,283,96.3,52,14,4.8,3.6,24,8.2,5.2,,,,,,,,
인천광역시 남동구,28200,,558,107.7,59.2,17,3.3,2.3,20,3.9,2.3,,,,,,,,
인천광역시 동구,28140,,123,201.2,72.1,6,9.8,6.3,6,9.8,3.4,,,,,,,,
인천광역시 미추홀구,28177,,497,123.8,56.5,19,4.7,3.6,25,6.2,4,,,,,,,,
인천광역시 부평구,28237,,519,106.8,53.5,20,4.1,3.3,22,4.5,2.7,,,,,,,,
인천광역시 서구,28260,,410,75.2,49.9,23,4.2,4.1,14,2.6,2.2,,,,,,,,
인천광역시 연수구,28185,,328,84.9,59,9,2.3,2.1,5,1.3,1,,,,,,,,
인천광역시 옹진군,28720,,33,162.7,42.5,1,4.9,1.8,1,4.9,0.7,,,,,,,,
인천광역시 중구,28110,,135,96.3,52.3,11,7.8,5.9,6,4.3,2.9,,,,,,,,
전라남도 강진군,46810,,69,203.1,30.6,8,23.6,8.1,1,2.9,0.9,,,,,,,,
전라남도 고흥군,46770,,192,304.6,45.2,20,31.7,19.1,6,9.5,4,,,,,,,,
전라남도 곡성군,46720,,84,304.1,53.5,4,14.5,4.4,2,7.2,3,,,,,,,,
전라남도 광양시,46230,,111,73.7,34.2,20,13.3,11.1,6,4,2.5,,,,,,,,
전라남도 구례군,46730,,96,378.4,66.4,2,7.9,1,1,3.9,0.5,,,,,,,,
전라남도 나주시,46170,,209,180.7,52.9,19,16.4,8.1,9,7.8,3.4,,,,,,,,
전라남도 담양군,46710,,120,261.2,63.6,4,8.7,1.2,4,8.7,1.7,,,,,,,,
전라남도 목포시,46110,,248,112.7,49.7,28,12.7,8.2,6,2.7,2.4,,,,,,,,
전라남도 무안군,46840,,145,164.2,59.7,20,22.6,12.8,9,10.2,3.7,,,,,,,,
전라남도 보성군,46780,,137,345.4,60.4,22,55.5,28.9,4,10.1,1.7,,,,,,,,
전라남도 순천시,46150,,382,136,55.1,37,13.2,10.7,17,6.1,3.5,,,,,,,,
전라남도 신안군,46910,,111,290,48.9,14,36.6,20.2,1,2.6,0.3,,,,,,,,
전라남도 여수시,46130,,415,149.7,54.6,27,9.7,6,15,5.4,4.1,,,,,,,,
전라남도 영광군,46870,,116,222.3,48.9,10,19.2,12.1,5,9.6,2.2,,,,,,,,
전라남도 영암군,46830,,99,187,46,12,22.7,11,2,3.8,1.5,,,,,,,,
전라남도 완도군,46890,,151,307.8,67,14,28.5,12.7,5,10.2,2.1,,,,,,,,
전라남도 장성군,46880,,113,259,61.4,9,20.6,6,7,16,3.9,,,,,,,,
전라남도 장흥군,46800,,119,322.1,61.6,15,40.6,16.7,0,,,,,,,,,,
전라남도 진도군,46900,,88,288.7,61.7,8,26.2,14.3,4,13.1,3.6,,,,,,,,
전라남도 함평군,46860,,66,210,36.9,10,31.8,15.7,2,6.4,1.9,,,,,,,,
전라남도 해남군,46820,,239,353.6,78.2,16,23.7,11.2,10,14.8,6.7,,,,,,,,
전라남도 화순군,46790,,122,196,44.4,6,9.6,3.5,6,9.6,6.4,,,,,,,,
전라북도 고창군,45790,,143,266.6,57.4,13,24.2,10.9,4,7.5,2.8,,,,,,,,
전라북도 군산시,45130,,363,137.1,55,36,13.6,9.5,15,5.7,2.7,,,,,,,,
전라북도 김제시,45210,,204,251.3,56,11,13.6,6.3,7,8.6,3.4,,,,,,,,
전라북도 남원시,45190,,154,193.2,49.5,12,15.1,13.6,7,8.8,6.3,,,,,,,,
전라북도 무주군,45730,,68,285.6,44.9,2,8.4,3.1,2,8.4,3.8,,,,,,,,
전라북도 부안군,45800,,152,297.2,69.9,15,29.3,11.8,4,7.8,1.7,,,,,,,,
전라북도 순창군,45770,,77,283,57.2,9,33.1,9,2,7.4,2,,,,,,,,
전라북도 완주군,45710,,178,195.7,55.4,17,18.7,12.8,0,,,,,,,,,,
전라북도 익산시,45140,,401,144,48,33,11.8,6.1,15,5.4,2.4,,,,,,,,
전라북도 임실군,45750,,85,316.3,51.5,11,40.9,26.3,3,11.2,4.3,,,,,,,,
전라북도 장수군,45740,,41,187.9,41,9,41.2,25.2,0,,,,,,,,,,
전라북도 전주시 덕진구,45113,,309,97,49,26,8.2,6.9,10,3.1,2,,,,,,,,
전라북도 전주시 완산구,45111,,386,114.8,50.7,31,9.2,6,13,3.9,2.9,,,,,,,,
전라북도 정읍시,45180,,197,184.6,42.6,19,17.8,11.8,16,15,5.3,,,,,,,,
전라북도 진안군,45720,,77,307.3,61.1,11,43.9,14.1,3,12,4.3,,,,,,,,
제주도 서귀포시,50130,,209,115,40.2,20,11,7.4,11,6.1,3.3,,,,,,,,
제주도 제주시,50110,,551,112.6,53.8,32,6.5,5.4,18,3.7,2.1,,,,,,,,
충청남도 계룡시,44250,,21,48.9,26,2,4.7,5.1,0,,,,,,,,,,
충청남도 공주시,44150,,216,209.3,55.8,17,16.5,7.8,9,8.7,5,,,,,,,,
충청남도 금산군,44710,,126,248.8,54.6,11,21.7,8.5,2,3.9,1.9,,,,,,,,
충청남도 논산시,44230,,230,200.3,50.6,20,17.4,10.6,13,11.3,4.4,,,,,,,,
충청남도 당진시,44830,,198,119.3,40.2,38,22.9,16.9,7,4.2,2.8,,,,,,,,
충청남도 보령시,44180,,202,204.6,54.9,18,18.2,10.6,3,3,1.6,,,,,,,,
충청남도 부여군,44760,,179,279.1,58.5,12,18.7,11.3,10,15.6,4.2,,,,,,,,
충청남도 서산시,44210,,187,106.6,35.8,24,13.7,11.2,14,8,4.6,,,,,,,,
충청남도 서천군,44770,,185,363.2,64.9,14,27.5,12.5,7,13.7,2.9,,,,,,,,
충청남도 아산시,44200,,297,93.2,46.8,28,8.8,7.9,13,4.1,2.5,,,,,,,,
